voi_id,selected_source,selected_action,selected_target,impact_tier,decision_surface,evidence_fingerprint,paid_data_authorized,canonical_effect
5774e74b89a813d7749b,SHARED_ROW,CONTINUE_OBSERVING,CORE_C01_C07,LOW,CALIBRATION_QUALITY,03170f1812f1911c6c7e9042e1c72974b622fb3b5e02be67738947dc66c90f95,false,false
146451641ba506d3fabc,SHARED_ROW,NO_ACTION,P0_REPAIR_QUARANTINE,LOW,RESEARCH_OPERATIONS,44e3aeb274dcc9ea1efd6208d0c24cba6a136d606d200984c0f72341a10a587a,false,false
ca47edf97b53f260b14e,SHADOW_REGISTRY,RECOVER_EVALUATOR,CYCLE_NAVIGATOR_RESEARCH_FAMILY,MEDIUM,SENSOR_PORTFOLIO_QUALITY,5b5530bae57e82b4212922e6f1217e42f49a041336aa6d1230aeb51c8a047501,false,false
2e7d9d874b1994b7a859,SHADOW_REGISTRY,RECOVER_EVALUATOR,CYCLE_NAVIGATOR_RESEARCH_FAMILY,MEDIUM,SENSOR_PORTFOLIO_QUALITY,5e573cff899c312d4a3d04842e7bca9441abf1b07d01f973b97d63739489227d,false,false
1414aa9714a02e04d410,SHADOW_REGISTRY,RECOVER_EVALUATOR,CYCLE_NAVIGATOR_RESEARCH_FAMILY,MEDIUM,SENSOR_PORTFOLIO_QUALITY,08f1aac89b60c362571f8511905816e8f894ad0e83f85585ae317ec4f435cf01,false,false
64a0775f0a03759c90b4,SHADOW_REGISTRY,RECOVER_EVALUATOR,CYCLE_NAVIGATOR_RESEARCH_FAMILY,MEDIUM,SENSOR_PORTFOLIO_QUALITY,f4f943af93001472e6f901fd34758aac861d396099458f0dc770de83d71969e8,false,false
48c6e5abe97b8dbe3172,MONTHLY_COUNCIL,RUN_INCREMENTAL_VALUE_TEST,EC-0e9733866b37fcec87ed,MEDIUM,SENSOR_PORTFOLIO_QUALITY,4ee022c45bb8eac011ecf8ec5317c22f092ee793f604fd84b61315a1e6afd9af,false,false
b8172fd1ed7797d1b53f,SHADOW_REGISTRY,RECOVER_EVALUATOR,CYCLE_NAVIGATOR_RESEARCH_FAMILY,MEDIUM,SENSOR_PORTFOLIO_QUALITY,6e00fed5d9e7e28bcdd6d2ccf93824b9f988f1f07b27c5a6994d3fe0142c4102,false,false
fa1ac3db1d0587b2ac79,COMPOUNDING_LEARNING,STRESS_TEST_REGIME_SPECIFICITY,EC-bdf6c7853fbc34fb9622,MEDIUM,SENSOR_PORTFOLIO_QUALITY,bf94b0c51566ad3f32be5bbec63dd37f8e4d18c14bce42e286ef8602d3127f92,false,false
96dd81b7181e6e877543,SHADOW_REGISTRY,RECOVER_EVALUATOR,CYCLE_NAVIGATOR_RESEARCH_FAMILY,MEDIUM,SENSOR_PORTFOLIO_QUALITY,cf03201469c2214fbff63c49a894e997afc6265d54aff14c8162ce73f65ef235,false,false
