date_utc,btc_d_close,source_symbol,source_provider,source_convention,settled_timezone,source_timestamp,source_verified_timestamp,print_status,revision_delta,data_quality,source_status,notes
2023-01-01,40.0387,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2023-01-01T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2023-01-02,40.0759,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2023-01-02T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2023-01-03,39.86,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2023-01-03T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2023-01-04,39.8378,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2023-01-04T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2023-01-06,39.6606,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2023-01-06T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2023-01-07,39.5699,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2023-01-07T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2023-01-08,39.5986,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2023-01-08T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2023-01-09,39.3052,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2023-01-09T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2023-01-10,39.0412,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2023-01-10T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2023-01-11,39.1532,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2023-01-11T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2023-01-12,39.2424,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2023-01-12T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2023-01-13,40.0929,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2023-01-13T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2023-01-14,40.8228,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2023-01-14T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2023-01-15,41.0143,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2023-01-15T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2023-01-16,40.931,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2023-01-16T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2023-01-17,41.1842,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2023-01-17T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
