dd_bucket,uw_bucket,daily_rows,daily_hazard,unique_episodes,episode_entries,episode_hazard,successes,ci95_low,ci95_high
<-50%,0,0,,0,,,,,
<-50%,1-30,19,0.7894736842105263,3,3.0,0.3333333333333333,1.0,0.008403758659612636,0.9057006759497539
<-50%,31-90,128,0.875,6,6.0,0.6666666666666666,4.0,0.22277809550351213,0.9567281317072583
<-50%,91-270,600,0.46166666666666667,7,7.0,0.42857142857142855,3.0,0.09898827844250786,0.815948432359917
<-50%,>270,1991,0.23204419889502761,5,5.0,0.4,2.0,0.052744950526316906,0.8533672003653269
-50/-35,0,0,,0,,,,,
-50/-35,1-30,66,0.7121212121212122,5,5.0,0.6,3.0,0.14663279963467313,0.9472550494736831
-50/-35,31-90,184,0.5217391304347826,9,9.0,0.5555555555555556,5.0,0.21200850677886798,0.8630043377348335
-50/-35,91-270,376,0.5585106382978723,5,5.0,0.4,2.0,0.052744950526316906,0.8533672003653269
-50/-35,>270,477,0.23689727463312368,5,5.0,0.0,0.0,0.0,0.5218237501049815
-35/-25,0,0,,0,,,,,
-35/-25,1-30,75,0.6133333333333333,12,12.0,0.5,6.0,0.21094463823929666,0.7890553617607034
-35/-25,31-90,182,0.5934065934065934,10,10.0,0.5,5.0,0.18708602844739852,0.8129139715526015
-35/-25,91-270,89,0.47191011235955055,6,6.0,0.3333333333333333,2.0,0.0432718682927417,0.7772219044964879
-35/-25,>270,195,0.06666666666666667,4,4.0,0.5,2.0,0.06758598648854296,0.932414013511457
-25/-15,0,0,,0,,,,,
-25/-15,1-30,151,0.4966887417218543,21,21.0,0.5714285714285714,12.0,0.3401981276256319,0.7818263588029159
-25/-15,31-90,184,0.30434782608695654,10,10.0,0.5,5.0,0.18708602844739852,0.8129139715526015
-25/-15,91-270,91,0.06593406593406594,4,4.0,0.25,1.0,0.006309463209709866,0.8058795503167566
-25/-15,>270,38,0.0,4,4.0,0.0,0.0,0.0,0.6023646356164747
-15/-5,0,0,,0,,,,,
-15/-5,1-30,306,0.5849673202614379,43,43.0,0.4883720930232558,21.0,0.33353140522751054,0.6441057665127045
-15/-5,31-90,169,0.34911242603550297,10,10.0,0.2,2.0,0.025210726326833372,0.5560954623076415
-15/-5,91-270,119,0.12605042016806722,4,4.0,0.25,1.0,0.006309463209709866,0.8058795503167566
-15/-5,>270,0,,0,,,,,
-5/0,0,3372,0.3769276393831554,100,100.0,0.35,35.0,0.2564294056268135,0.4520626741004601
-5/0,1-30,581,0.3270223752151463,90,90.0,0.36666666666666664,33.0,0.2674138778783735,0.473115575873746
-5/0,31-90,18,0.4444444444444444,11,11.0,0.36363636363636365,4.0,0.10926344381909811,0.6920952840363118
-5/0,91-270,0,,0,,,,,
-5/0,>270,0,,0,,,,,
