run_id,ts,source,attempt_id,gate,cross_date,ratio_at_cross_DERIVED,prior_close,hold_days,outcome_14d,outcome_30d,outcome_60d,final_degraded_label,sigA_r5pct,sigA,sigB_regime,sigB,days_below_gate_prior60,base_depth_pct_prior30,btc_vs_ema50_EXPLORATORY,btc_d_reclaim_days,breadth,deployment,flow_congruence,data_quality,notes
M4_DEGRADED_20260708,2026-07-08,FMP_EOD_settled,RS01,0.0265,2025-03-02,0.02672,0.02577,1,FELL_d1,FELL_d1,FELL_d1,FAKE_FAST,-5.0,GRIND,UP,SPIKE,1,-2.8,BTC<EMA50,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEGRADED,
M4_DEGRADED_20260708,2026-07-08,FMP_EOD_settled,RS02,0.0265,2025-07-15,0.02664,0.02515,325,HELD,HELD,HELD,REAL_CANDIDATE,4.7,GRIND,TRANS,GRIND,60,-16.7,BTC>EMA50,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEGRADED,
M4_DEGRADED_20260708,2026-07-08,FMP_EOD_settled,RS03,0.0265,2026-06-07,0.02669,0.02578,3,FELL_d3,FELL_d3,FELL_d3,FAKE_FAST,-4.2,GRIND,DOWN,GRIND,2,-2.7,BTC<EMA50,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEGRADED,
M4_DEGRADED_20260708,2026-07-08,FMP_EOD_settled,RS04,0.0265,2026-06-15,0.02708,0.02625,10,FELL_d10,FELL_d10,FELL_d10,FAKE_STANDARD,2.7,GRIND,DOWN,GRIND,7,-2.7,BTC<EMA50,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEGRADED,
M4_DEGRADED_20260708,2026-07-08,FMP_EOD_settled,RS05,0.0265,2026-06-29,0.02677,0.02639,9,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,0.8,GRIND,TRANS,GRIND,11,-2.7,BTC<EMA50,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEGRADED,
M4_DEGRADED_20260708,2026-07-08,FMP_EOD_settled,RS06,0.0275,2025-02-12,0.02798,0.02717,12,FELL_d12,FELL_d12,FELL_d12,FAKE_STANDARD,3.0,GRIND,TRANS,GRIND,5,-1.2,BTC<EMA50,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEGRADED,
M4_DEGRADED_20260708,2026-07-08,FMP_EOD_settled,RS07,0.0275,2025-02-25,0.02814,0.02747,2,FELL_d2,FELL_d2,FELL_d2,FAKE_FAST,1.0,GRIND,UP,SPIKE,6,-1.2,BTC<EMA50,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEGRADED,
M4_DEGRADED_20260708,2026-07-08,FMP_EOD_settled,RS08,0.0275,2025-07-16,0.02842,0.02664,307,HELD,HELD,HELD,REAL_CANDIDATE,12.9,SPIKE,TRANS,GRIND,60,-19.8,BTC>EMA50,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEGRADED,
M4_DEGRADED_20260708,2026-07-08,FMP_EOD_settled,RS09,0.0275,2026-05-23,0.02759,0.02735,1,FELL_d1,FELL_d1,FELL_d1,FAKE_FAST,-0.3,GRIND,UP,SPIKE,4,-0.5,BTC<EMA50,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEGRADED,
M4_DEGRADED_20260708,2026-07-08,FMP_EOD_settled,RS10,0.0275,2026-06-01,0.0281,0.02724,4,FELL_d4,FELL_d4,FELL_d4,FAKE_STANDARD,3.3,GRIND,TRANS,GRIND,12,-1.1,BTC<EMA50,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEGRADED,
M4_DEGRADED_20260708,2026-07-08,FMP_EOD_settled,RS11,0.0275,2026-07-02,0.02763,0.02681,6,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,5.4,SPIKE,TRANS,GRIND,39,-6.2,BTC<EMA50,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEGRADED,
M4_DEGRADED_20260708,2026-07-08,FMP_EOD_settled,RS12,0.03,2025-07-18,0.03008,0.02917,198,HELD,HELD,HELD,REAL_CANDIDATE,20.5,SPIKE,TRANS,GRIND,60,-26.5,BTC>EMA50,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEGRADED,
M4_DEGRADED_20260708,2026-07-08,FMP_EOD_settled,RS13,0.03,2026-02-07,0.03013,0.02924,1,FELL_d1,FELL_d1,FELL_d1,FAKE_FAST,1.1,GRIND,DOWN,GRIND,6,-3.2,BTC<EMA50,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEGRADED,
M4_DEGRADED_20260708,2026-07-08,FMP_EOD_settled,RS14,0.03,2026-02-09,0.03001,0.02972,1,FELL_d1,FELL_d1,FELL_d1,FAKE_FAST,2.2,GRIND,DOWN,GRIND,7,-3.2,BTC<EMA50,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEGRADED,
M4_DEGRADED_20260708,2026-07-08,FMP_EOD_settled,RS15,0.03,2026-02-25,0.03026,0.02891,2,FELL_d2,FELL_d2,FELL_d2,FAKE_FAST,4.5,GRIND,DOWN,GRIND,22,-4.8,BTC<EMA50,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEGRADED,
M4_DEGRADED_20260708,2026-07-08,FMP_EOD_settled,RS16,0.03,2026-03-16,0.03142,0.02991,10,FELL_d10,FELL_d10,FELL_d10,FAKE_STANDARD,7.5,SPIKE,TRANS,GRIND,39,-4.8,BTC>EMA50,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEGRADED,
M4_DEGRADED_20260708,2026-07-08,FMP_EOD_settled,RS17,0.03,2026-03-27,0.03001,0.02994,27,HELD,FELL_d27,FELL_d27,SLOW_BLEED,-0.8,GRIND,UP,SPIKE,40,-3.3,BTC<EMA50,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEGRADED,
M4_DEGRADED_20260708,2026-07-08,FMP_EOD_settled,RS18,0.03,2026-04-26,0.03013,0.02988,1,FELL_d1,FELL_d1,FELL_d1,FAKE_FAST,-1.2,GRIND,UP,SPIKE,21,-0.7,BTC>EMA50,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEGRADED,
