date,IBIT,FBTC,BITB,ARKB,BTCO,EZBC,BRRR,HODL,BTCW,MSBT,GBTC,BTC,Total
2026-01-02,287.4,88.1,41.5,6.7,4.5,13.0,0.0,8.3,0.0,0.0,15.4,6.4,471.3
2026-01-05,372.5,191.2,38.5,36.0,15.0,13.6,7.2,5.3,0.0,0.0,0.0,17.9,697.2
2026-01-06,228.7,-312.2,0.0,-29.5,0.0,0.0,0.0,-14.4,0.0,0.0,-83.1,-32.7,-243.2
2026-01-07,-130.0,-247.6,-39.0,-42.3,0.0,0.0,0.0,-11.6,0.0,0.0,-15.6,0.0,-486.1
2026-01-08,-193.3,-120.5,3.0,-9.6,0.0,0.0,0.0,0.0,1.9,0.0,-73.1,-7.2,-398.8
2026-01-09,-252.0,7.9,-5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-250.0
2026-01-12,-70.7,111.7,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,64.3,4.9,116.7
2026-01-13,126.3,351.4,159.4,84.9,0.0,0.0,0.0,10.0,3.0,0.0,0.0,18.8,753.8
2026-01-14,648.4,125.4,10.6,27.0,0.0,5.6,0.0,8.3,0.0,0.0,15.3,0.0,840.6
2026-01-15,315.8,-188.9,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-36.4,6.7,100.2
2026-01-16,15.1,-205.2,-90.4,-69.4,0.0,0.0,0.0,0.0,0.0,0.0,-44.8,0.0,-394.7
2026-01-20,-56.9,-152.1,-40.4,-46.4,0.0,-10.4,0.0,-12.7,0.0,0.0,-160.8,0.0,-479.7
2026-01-21,-356.6,-287.7,-25.9,-29.8,0.0,0.0,-3.8,6.4,0.0,0.0,-11.3,0.0,-708.7
2026-01-22,-22.4,-9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.2
2026-01-23,-101.6,-1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103.5
2026-01-26,15.9,-5.7,-11.0,-2.9,0.0,0.0,0.0,0.0,2.8,0.0,0.0,7.7,6.8
2026-01-27,-102.8,-44.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-147.4
2026-01-28,-14.2,19.5,-12.6,-12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.6
2026-01-29,-317.8,-168.0,-88.9,-71.6,-8.4,0.0,0.0,-6.5,0.0,0.0,-119.4,-37.2,-817.8
2026-01-30,-528.3,7.3,0.0,8.3,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-509.7
2026-02-02,142.0,153.3,96.5,65.1,10.1,0.0,0.0,24.3,3.3,0.0,0.0,67.2,561.8
2026-02-03,60.0,-148.7,-23.4,-62.5,0.0,-2.2,0.0,-4.8,0.0,0.0,-56.6,-33.8,-272.0
2026-02-04,-373.4,-86.4,0.0,-31.7,0.0,-6.4,0.0,-5.2,0.0,0.0,-41.8,0.0,-544.9
