date,ETHA,ETHB,FETH,ETHW,TETH,ETHV,QETH,EZET,ETHE,ETH,Total
2026-01-02,47.2,0.0,0.0,19.0,0.0,4.6,0.0,0.0,53.7,50.0,174.5
2026-01-05,102.9,0.0,21.8,19.7,0.0,0.0,0.0,0.0,1.3,22.3,168.0
2026-01-06,198.8,0.0,-1.6,1.4,1.6,0.0,0.0,0.0,-53.0,-32.5,114.7
2026-01-07,-6.6,0.0,-13.3,-11.2,0.0,-4.6,0.0,2.4,-52.0,-13.0,-98.3
2026-01-08,-107.7,0.0,-4.6,0.0,0.0,-2.3,0.0,0.0,-31.7,-12.9,-159.2
2026-01-09,-83.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,-93.8
2026-01-12,-79.9,0.0,0.0,0.0,5.0,0.0,0.0,0.0,50.7,29.3,5.1
2026-01-13,53.3,0.0,14.4,23.0,0.0,0.0,0.0,0.0,3.9,35.4,130.0
2026-01-14,81.6,0.0,5.9,8.0,0.0,3.7,0.0,0.0,32.4,43.5,175.1
2026-01-15,149.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,164.4
2026-01-16,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.2,0.0,4.7
2026-01-20,-92.3,0.0,-51.5,-31.1,0.0,-5.5,0.0,0.0,-38.5,-11.1,-230.0
2026-01-21,-250.3,0.0,-30.9,0.0,0.0,-4.4,0.0,0.0,-11.4,10.0,-287.0
2026-01-22,-44.4,0.0,0.0,-15.2,0.0,0.0,0.0,0.0,7.9,9.7,-42.0
2026-01-23,-44.5,0.0,4.4,0.0,0.0,0.0,0.0,0.0,-10.8,9.2,-41.7
2026-01-26,-20.2,0.0,137.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
2026-01-27,-59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.6,10.0,-63.6
2026-01-28,27.3,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1
2026-01-29,-54.9,0.0,-59.2,-2.0,0.0,0.0,0.0,0.0,-13.1,-26.5,-155.7
2026-01-30,-157.2,0.0,-95.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-252.9
2026-02-02,-82.1,0.0,66.6,5.0,0.0,7.6,0.0,0.0,0.0,0.0,-2.9
2026-02-03,42.9,0.0,-54.8,0.0,0.0,-2.5,1.1,0.0,8.2,19.1,14.0
2026-02-04,-58.9,0.0,-20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-79.4
2026-02-05,-8.5,0.0,-55.8,0.0,0.0,0.0,3.5,0.0,-27.1,7.1,-80.8
2026-02-06,-45.4,0.0,4.6,11.8,0.0,3.0,2.5,0.0,0.0,6.8,-16.7
2026-02-09,-45.0,0.0,67.3,-9.9,0.0,0.0,0.0,0.0,0.0,44.6,57.0
2026-02-10,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,13.3,13.8
2026-02-11,-29.4,0.0,-67.1,-16.7,0.0,0.0,0.0,0.0,-11.5,-4.4,-129.1
2026-02-12,-29.0,0.0,-43.5,-6.2,-2.9,0.0,0.0,0.0,-13.4,-18.1,-113.1
2026-02-13,-9.3,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,14.5,10.2
2026-02-17,22.9,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,11.3,48.6
2026-02-18,-29.9,0.0,-8.2,0.0,0.0,0.0,-3.7,0.0,0.0,0.0,-41.8
2026-02-19,-96.8,0.0,-11.6,-3.3,0.0,0.0,0.0,0.0,0.0,-18.4,-130.1
2026-02-20,1.8,0.0,-2.5,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
