week_start,env_lo,env_hi,dumb_lo,dumb_hi,real_lo,real_hi,jaccard_env,jaccard_dumb2.0,jaccard_dumb1.5,wk_ret
2025-04-07,73630,84703,71571,86709,74553,86093,0.8144,0.7623,0.8127,0.0689
2025-04-14,72404,81839,76583,92597,83088,88576,0.0000,0.3427,0.4569,0.0347
2025-04-21,72194,82817,81135,93909,87077,95976,0.0000,0.4603,0.3953,0.0859
2025-04-28,75020,92595,88933,101153,92912,97949,0.0000,0.4122,0.5496,-0.0033
2025-05-05,77666,94185,89482,99986,93363,105787,0.0292,0.4062,0.3542,0.0851
2025-05-12,82027,102666,96944,108656,101400,107138,0.0504,0.4899,0.6532,0.0274
2025-05-19,89040,110393,99828,111404,104209,112000,0.2694,0.5911,0.5359,0.0364
2025-05-26,95610,112838,103462,115466,103110,110829,0.4480,0.5962,0.5404,-0.0325
2025-06-02,100265,116812,100237,111573,100377,110651,0.6209,0.9063,0.8276,0.0415
2025-06-09,104214,118653,104265,116337,102746,110435,0.3911,0.4540,0.3858,-0.0313
2025-06-16,107075,121663,101075,112631,98225,107793,0.0306,0.4663,0.4069,-0.0134
2025-06-23,105505,123033,98752,112086,104682,108800,0.1796,0.3088,0.4118,0.0166
2025-06-30,106421,124692,101915,112431,105120,110590,0.2130,0.5201,0.6935,0.0102
2025-07-07,106394,123661,103305,113235,107438,123231,0.9146,0.2909,0.2438,0.1071
2025-07-14,106269,123160,114201,125527,115697,120999,0.3139,0.4681,0.6241,-0.0203
2025-07-21,111095,122455,111601,123257,114750,120300,0.4886,0.4762,0.6349,0.0055
2025-07-28,111977,123722,112496,123646,111904,119285,0.6184,0.5782,0.5214,-0.0256
2025-08-04,112161,123265,109591,120513,112622,122319,0.8733,0.6200,0.5743,0.0317
2025-08-11,113646,124543,113224,124180,114703,124533,0.9021,0.8380,0.8157,-0.0203
2025-08-18,115262,126089,110592,121982,109276,117417,0.1282,0.5372,0.4787,-0.0530
2025-08-25,114399,126953,103583,116673,107250,113480,0.0000,0.4760,0.6346,-0.0081
2025-09-01,110773,126166,103142,115340,108400,113390,0.1473,0.4091,0.5455,0.0259
2025-09-08,110043,124625,106570,117576,110766,116833,0.4161,0.5512,0.6115,0.0295
2025-09-15,109857,123538,110441,120321,111761,117998,0.4559,0.6313,0.8417,-0.0229
2025-09-22,109114,120988,108159,117315,108624,114490,0.4348,0.6406,0.6873,0.0144
2025-09-29,106598,117361,109539,119191,112696,126296,0.2368,0.3876,0.3401,0.0905
2025-10-06,108458,120898,119265,130175,107000,125226,0.6825,0.2572,0.2108,-0.0757
2025-10-13,108920,122096,107454,123094,103517,115515,0.3550,0.4118,0.3465,-0.0408
2025-10-20,107365,121430,102706,118430,106639,116410,0.6115,0.6214,0.8285,0.0318
2025-10-27,107187,121243,106769,121405,105272,116114,0.5589,0.5792,0.5254,-0.0660
2025-11-03,106200,120365,99247,113869,98893,107270,0.0498,0.5357,0.4712,-0.0054
2025-11-10,102715,118711,98204,113754,91158,107482,0.1730,0.4106,0.3551,-0.1310
2025-11-17,98209,115618,83760,100442,80525,93775,0.0000,0.5028,0.4447,-0.0416
2025-11-24,88215,108636,79605,96927,83800,93162,0.1992,0.5405,0.7206,-0.0225
2025-12-01,83854,101561,78654,93910,86181,94181,0.4518,0.4978,0.4275,0.0507
2025-12-08,81845,96701,83282,98026,85130,94641,0.6402,0.6451,0.8601,-0.0467
2025-12-15,79058,92705,79233,93603,84400,90542,0.4501,0.4274,0.5699,0.0248
2025-12-22,76042,89027,81803,95311,86350,90325,0.1874,0.2943,0.3924,-0.0163
2025-12-29,74802,85975,81476,92746,86705,94825,0.0000,0.4526,0.3880,0.0776
2026-01-05,74880,88109,88811,98929,89200,94440,0.0000,0.5179,0.5156,-0.0286
2026-01-12,75686,90263,86507,95869,90925,97964,0.0000,0.4315,0.3668,0.0150
2026-01-19,77232,94106,87965,97155,86000,92808,0.4035,0.4342,0.3692,-0.0466
2026-01-26,79245,94802,83353,93147,74502,90477,0.5533,0.3821,0.3387,-0.1086
2026-02-02,78775,93380,72090,85244,60001,79124,0.0104,0.2786,0.2284,-0.1089
2026-02-09,70773,90348,61161,79043,65065,70942,0.0067,0.3287,0.4382,-0.0177
2026-02-16,67500,87058,61158,76558,63855,69200,0.0733,0.3471,0.4628,-0.0615
2026-02-23,64149,81798,58317,70935,62535,70129,0.3105,0.6018,0.6666,0.0651
2026-03-02,61617,77170,61918,75746,65619,74100,0.5453,0.6133,0.8034,-0.0058
2026-03-09,59062,73898,61558,75306,68384,74914,0.3478,0.4750,0.4471,0.0943
2026-03-16,57842,72403,68843,80929,67332,76023,0.2789,0.5281,0.4691,-0.0536
2026-03-23,56484,70810,64851,76897,64939,72030,0.3777,0.5886,0.5428,-0.0584
2026-03-30,54934,68898,61196,72278,65697,70378,0.2072,0.4224,0.5632,0.0317
2026-04-06,54608,68766,63985,73723,67710,74937,0.0519,0.5490,0.4927,0.0812
2026-04-13,56373,73572,69222,79670,73298,78390,0.0124,0.4873,0.6444,0.0191
2026-04-20,61531,80065,70699,81031,74817,79523,0.2539,0.4554,0.6073,0.0198
2026-04-27,67212,80559,72689,82039,74914,80750,0.4170,0.6242,0.8322,0.0322
