issue,forecast_week,asset,window,forecast_low,forecast_high,source_publication,outcome_status,notes
23,2026-W36,BTC,day_1_2,77000,80200,CYCLE_NAVIGATOR_23_X_PUBLISHED_2026-09-01.md,FINAL,"CN24 published review: actual ~76420-79250; published BTC range score 89%"
23,2026-W36,BTC,day_3_4,76000,81000,CYCLE_NAVIGATOR_23_X_PUBLISHED_2026-09-01.md,FINAL,"CN24 published review: actual ~76260-82300"
23,2026-W36,BTC,day_5_7,75500,81500,CYCLE_NAVIGATOR_23_X_PUBLISHED_2026-09-01.md,FINAL,"CN24 published review: actual ~78660-81430"
23,2026-W36,ETH,day_1_2,2400,2520,CYCLE_NAVIGATOR_23_X_PUBLISHED_2026-09-01.md,FINAL,"CN24 published review: actual ~2383-2490; published ETH range score 94%"
23,2026-W36,ETH,day_3_4,2350,2560,CYCLE_NAVIGATOR_23_X_PUBLISHED_2026-09-01.md,FINAL,"CN24 published review: actual ~2356-2530"
23,2026-W36,ETH,day_5_7,2300,2580,CYCLE_NAVIGATOR_23_X_PUBLISHED_2026-09-01.md,FINAL,"CN24 published review: actual ~2432-2547"
24,2026-W37,BTC,day_1_2,77500,81500,CYCLE_NAVIGATOR_24_X_PUBLISHED_2026-09-07.md,FINAL,"CN25 published review: actual ~77620-80440; published BTC range score 96%"
24,2026-W37,BTC,day_3_4,76500,83000,CYCLE_NAVIGATOR_24_X_PUBLISHED_2026-09-07.md,FINAL,"CN25 published review: actual ~76460-79760"
24,2026-W37,BTC,day_5_7,77000,84500,CYCLE_NAVIGATOR_24_X_PUBLISHED_2026-09-07.md,FINAL,"CN25 published review: actual ~76050-79890"
24,2026-W37,ETH,day_1_2,2420,2580,CYCLE_NAVIGATOR_24_X_PUBLISHED_2026-09-07.md,FINAL,"CN25 published review: actual ~2442-2537; published ETH range score 100%"
24,2026-W37,ETH,day_3_4,2380,2650,CYCLE_NAVIGATOR_24_X_PUBLISHED_2026-09-07.md,FINAL,"CN25 published review: actual ~2406-2523"
24,2026-W37,ETH,day_5_7,2360,2720,CYCLE_NAVIGATOR_24_X_PUBLISHED_2026-09-07.md,FINAL,"CN25 published review: actual ~2434-2666"
25,2026-W38,BTC,day_1_2,77000,81500,CYCLE_NAVIGATOR_25_X_PUBLISHED_2026-09-14.md,PARTIAL,"Prospective published range recovered; final score pending W38 close"
25,2026-W38,BTC,day_3_4,75500,82500,CYCLE_NAVIGATOR_25_X_PUBLISHED_2026-09-14.md,PARTIAL,"Prospective published range recovered; final score pending W38 close"
25,2026-W38,BTC,day_5_7,75000,84000,CYCLE_NAVIGATOR_25_X_PUBLISHED_2026-09-14.md,PENDING,"Future/unfinished window at backfill time"
25,2026-W38,ETH,day_1_2,2440,2640,CYCLE_NAVIGATOR_25_X_PUBLISHED_2026-09-14.md,PARTIAL,"Prospective published range recovered; final score pending W38 close"
25,2026-W38,ETH,day_3_4,2380,2700,CYCLE_NAVIGATOR_25_X_PUBLISHED_2026-09-14.md,PARTIAL,"Prospective published range recovered; final score pending W38 close"
25,2026-W38,ETH,day_5_7,2360,2760,CYCLE_NAVIGATOR_25_X_PUBLISHED_2026-09-14.md,PENDING,"Future/unfinished window at backfill time"
