family,metric,denominator_class,hits,n,recall_pct
A,WAVE_OR_WORSE_RECALL,M2_EVALUABLE,9,9,100.0
A,WAVE_OR_WORSE_RECALL,ALL_M1_LISTED,9,10,90.0
A,STORM_OR_WORSE_RECALL,M2_EVALUABLE,4,4,100.0
A,STORM_OR_WORSE_RECALL,ALL_M1_LISTED,4,5,80.0
C,WAVE_OR_WORSE_RECALL,M2_EVALUABLE,8,9,88.88888888888889
C,WAVE_OR_WORSE_RECALL,ALL_M1_LISTED,8,10,80.0
C,STORM_OR_WORSE_RECALL,M2_EVALUABLE,4,4,100.0
C,STORM_OR_WORSE_RECALL,ALL_M1_LISTED,4,5,80.0
D,WAVE_OR_WORSE_RECALL,M2_EVALUABLE,4,9,44.44444444444444
D,WAVE_OR_WORSE_RECALL,ALL_M1_LISTED,4,10,40.0
D,STORM_OR_WORSE_RECALL,M2_EVALUABLE,4,4,100.0
D,STORM_OR_WORSE_RECALL,ALL_M1_LISTED,4,5,80.0
