window_days,entity_type,entity,n_unique_signal_dates,observed_naive_events_hit,observed_one_to_one_events_hit,random_naive_median,random_one_to_one_median,p_random_naive_ge_observed,p_random_one_to_one_ge_observed
14,family,A,38,9,9,7.0,7.0,0.107,0.107
14,family,C,15,9,9,4.0,4.0,0.0,0.0
14,family,D,16,7,7,4.0,4.0,0.04,0.04
14,rule,A1,9,5,5,3.0,3.0,0.076,0.076
14,rule,A2,10,5,5,3.0,3.0,0.123,0.123
14,rule,A3,25,9,9,6.0,6.0,0.01,0.01
14,rule,C1,1,1,1,0.0,0.0,0.342,0.342
14,rule,C2,14,8,8,4.0,4.0,0.002,0.002
14,rule,D1,1,1,1,0.0,0.0,0.356,0.356
14,rule,D2,1,1,1,0.0,0.0,0.372,0.372
14,rule,D3,14,7,7,4.0,4.0,0.017,0.017
21,family,A,38,9,9,8.0,8.0,0.363,0.339
21,family,C,15,9,9,5.0,5.0,0.0,0.0
21,family,D,16,7,7,5.0,5.0,0.178,0.159
21,rule,A1,9,6,6,4.0,4.0,0.066,0.056
21,rule,A2,10,6,6,4.0,4.0,0.11,0.094
21,rule,A3,25,9,9,7.0,7.0,0.074,0.066
21,rule,C1,1,1,1,0.0,0.0,0.484,0.484
21,rule,C2,14,8,8,5.0,5.0,0.015,0.011
21,rule,D1,1,1,1,0.0,0.0,0.476,0.476
21,rule,D2,1,1,1,1.0,1.0,0.513,0.513
21,rule,D3,14,7,7,5.0,5.0,0.112,0.104
30,family,A,38,9,9,9.0,9.0,0.622,0.537
30,family,C,15,9,9,6.0,6.0,0.029,0.006
30,family,D,16,7,7,6.0,6.0,0.499,0.386
30,rule,A1,9,6,6,5.0,4.0,0.258,0.133
30,rule,A2,10,6,6,5.0,5.0,0.331,0.21
30,rule,A3,25,9,9,8.0,8.0,0.241,0.17
30,rule,C1,1,1,1,1.0,1.0,0.6,0.6
30,rule,C2,14,8,8,6.0,6.0,0.12,0.058
30,rule,D1,1,1,1,1.0,1.0,0.595,0.595
30,rule,D2,1,2,1,1.0,1.0,0.076,0.613
30,rule,D3,14,7,7,6.0,6.0,0.353,0.252
45,family,A,38,9,9,9.0,9.0,0.785,0.712
45,family,C,15,9,9,7.0,7.0,0.143,0.029
45,family,D,16,7,7,8.0,7.0,0.807,0.653
45,rule,A1,9,7,6,6.0,5.0,0.271,0.32
45,rule,A2,10,7,6,6.0,5.0,0.39,0.454
45,rule,A3,25,9,9,9.0,8.0,0.536,0.35
45,rule,C1,1,1,1,1.0,1.0,0.766,0.766
45,rule,C2,14,9,9,7.0,6.0,0.095,0.02
45,rule,D1,1,1,1,1.0,1.0,0.784,0.784
45,rule,D2,1,2,1,1.0,1.0,0.195,0.766
45,rule,D3,14,7,7,7.0,7.0,0.71,0.51
