feature_A,feature_B,spearman_rho,absolute_rho
total_dex_change_7d_pct,total_ratio_change_7d_pct,0.9981443932411674,0.9981443932411674
total_ratio_change_7d_pct,chain_ratio_positive_share,0.8424469845178738,0.8424469845178738
total_dex_change_7d_pct,chain_ratio_positive_share,0.8358019791359693,0.8358019791359693
ethbtc_ret_20d,ethbtc_drawdown_60d,0.6955557909300023,0.6955557909300023
ethbtc_ret_5d,btc_d_change_5d_pp,-0.41129339477726573,0.41129339477726573
btc_d_change_5d_pp,days_since_B1_fire,-0.38592180222191746,0.38592180222191746
ethbtc_ret_5d,ethbtc_ret_20d,0.3858442171518489,0.3858442171518489
ethbtc_ret_5d,ethbtc_drawdown_60d,0.34857222160255213,0.34857222160255213
ethbtc_vol_20d,total_supply_change_7d_pct,0.28455704169944923,0.28455704169944923
ethbtc_drawdown_60d,days_since_B1_fire,0.2131799411216907,0.2131799411216907
ethbtc_vol_20d,days_since_B1_fire,-0.20613531726633713,0.20613531726633713
ethbtc_ret_20d,btc_d_change_5d_pp,-0.1892053501180173,0.1892053501180173
ethbtc_ret_20d,days_since_B1_fire,0.17477717112656962,0.17477717112656962
ethbtc_ret_20d,ethbtc_vol_20d,0.16272541306058222,0.16272541306058222
ethbtc_ret_20d,total_dex_change_7d_pct,0.1494445318646735,0.1494445318646735
ethbtc_drawdown_60d,chain_ratio_positive_share,0.14059244031620202,0.14059244031620202
days_since_B1_fire,total_supply_change_7d_pct,-0.1402977423064994,0.1402977423064994
ethbtc_ret_20d,total_ratio_change_7d_pct,0.1398143194335169,0.1398143194335169
ethbtc_ret_5d,total_supply_change_7d_pct,0.13853763440860214,0.13853763440860214
ethbtc_ret_20d,chain_ratio_positive_share,0.1140473375541176,0.1140473375541176
days_since_B1_fire,chain_ratio_positive_share,0.11029177668892767,0.11029177668892767
ethbtc_drawdown_60d,total_ratio_change_7d_pct,0.10961700698203784,0.10961700698203784
ethbtc_drawdown_60d,total_dex_change_7d_pct,0.10825843538126097,0.10825843538126097
ethbtc_drawdown_60d,btc_d_change_5d_pp,-0.10749149980017725,0.10749149980017725
ethbtc_ret_20d,total_supply_change_7d_pct,0.08959874114870181,0.08959874114870181
days_since_B1_fire,total_ratio_change_7d_pct,0.08811273847790164,0.08811273847790164
total_supply_change_7d_pct,chain_ratio_positive_share,-0.08544023813429426,0.08544023813429426
days_since_B1_fire,total_dex_change_7d_pct,0.07747033094441647,0.07747033094441647
ethbtc_vol_20d,ethbtc_drawdown_60d,-0.07709163419569671,0.07709163419569671
ethbtc_vol_20d,chain_ratio_positive_share,-0.0719296877414149,0.0719296877414149
ethbtc_vol_20d,btc_d_change_5d_pp,-0.06357828481510622,0.06357828481510622
btc_d_change_5d_pp,total_dex_change_7d_pct,-0.056030721966205836,0.056030721966205836
total_supply_change_7d_pct,total_ratio_change_7d_pct,-0.05472811059907834,0.05472811059907834
btc_d_change_5d_pp,chain_ratio_positive_share,-0.054379281489925456,0.054379281489925456
btc_d_change_5d_pp,total_ratio_change_7d_pct,-0.052835637480798774,0.052835637480798774
ethbtc_ret_5d,total_dex_change_7d_pct,0.048282642089093705,0.048282642089093705
ethbtc_ret_5d,days_since_B1_fire,0.046170398473065546,0.046170398473065546
ethbtc_vol_20d,total_ratio_change_7d_pct,-0.04370102281667978,0.04370102281667978
ethbtc_ret_5d,total_ratio_change_7d_pct,0.04201536098310292,0.04201536098310292
ethbtc_vol_20d,total_dex_change_7d_pct,-0.029639653815892997,0.029639653815892997
ethbtc_ret_5d,chain_ratio_positive_share,0.02885634903995471,0.02885634903995471
total_supply_change_7d_pct,total_dex_change_7d_pct,-0.013450076804915514,0.013450076804915514
ethbtc_drawdown_60d,total_supply_change_7d_pct,-0.007461187581685934,0.007461187581685934
ethbtc_ret_5d,ethbtc_vol_20d,0.0059040125885129816,0.0059040125885129816
btc_d_change_5d_pp,total_supply_change_7d_pct,-0.005493087557603687,0.005493087557603687
