horizon_days,model_A,model_B,median_MAE_difference_A_minus_B,ci_2_5,ci_97_5,probability_A_has_lower_MAE
7,STABLE,INTERCEPT,-0.0007185389807461955,-0.0019270228942053016,0.0005963353528348048,0.866
7,PRICE+STABLE,PRICE,-0.0009504274057699422,-0.0023412720788398306,0.0006075784337459711,0.8916666666666667
7,PRICE+BTCD,PRICE,0.0007675592944457153,-0.0015463306684684384,0.0034117852714188207,0.268
7,FULL,PRICE+STABLE,0.0013365753084628937,-0.0011324416891394533,0.003881578565204971,0.13966666666666666
7,FULL,PRICE,0.00041272328122342675,-0.0025901367120316414,0.0035543855049860944,0.3883333333333333
14,STABLE,INTERCEPT,-0.0008067528712828384,-0.0027678057078411064,0.0011506763086689248,0.786
14,PRICE+STABLE,PRICE,-0.002112305664262914,-0.004634393715646798,0.0003102886379819433,0.9583333333333334
14,PRICE+BTCD,PRICE,0.0012167051469047542,-0.002475628686269886,0.005186010834135213,0.258
14,FULL,PRICE+STABLE,0.0022914221405361257,-0.0017656385564481325,0.00671692825488485,0.13733333333333334
14,FULL,PRICE,0.00029797931827985763,-0.0049003473801481415,0.005547680389968559,0.45466666666666666
30,STABLE,INTERCEPT,-1.583060468317299e-05,-0.002940359736978421,0.003388516226821507,0.504
30,PRICE+STABLE,PRICE,0.0015599796135785451,-0.0018101595951361962,0.005422446342909673,0.20266666666666666
30,PRICE+BTCD,PRICE,0.006562944418455438,0.0009574672643245549,0.012467816128856475,0.011333333333333334
30,FULL,PRICE+STABLE,0.0071156268181894605,0.0010243513773253688,0.012823630750424527,0.008666666666666666
30,FULL,PRICE,0.00833244543739,0.0014479701499217018,0.015952554286146566,0.008333333333333333
