state_family,state,grouping,group,horizon_days,n_state,state_mean_return_pct,state_median_return_pct,state_positive_rate_pct,other_median_return_pct,median_delta_vs_other_pp
total_deployment_state_7d,EXPANDING_DEPLOYMENT,year,2024,7,21,-1.1446573626820353,-1.3258366810439126,38.095238095238095,-2.045065574045335,0.7192288930014223
total_deployment_state_7d,EXPANDING_DEPLOYMENT,year,2025,7,21,0.4737048094669825,-2.1719041383501225,33.33333333333333,-0.045452209962376644,-2.1264519283877457
total_deployment_state_7d,EXPANDING_DEPLOYMENT,year,2026,7,7,-2.453494488243432,-2.596485225251488,0.0,-1.0205475609378012,-1.5759376643136869
total_deployment_state_7d,EXPANDING_DEPLOYMENT,year,2024,14,21,-2.6395186676610827,-3.616888455053846,23.809523809523807,-0.8054076517295727,-2.8114808033242733
total_deployment_state_7d,EXPANDING_DEPLOYMENT,year,2025,14,21,0.8847214732265515,-1.8188515957156648,42.857142857142854,-0.9058778712870752,-0.9129737244285896
total_deployment_state_7d,EXPANDING_DEPLOYMENT,year,2026,14,7,-3.612629990226781,-3.630009932504097,28.57142857142857,-0.6754295741048966,-2.9545803583992
total_deployment_state_7d,EXPANDING_DEPLOYMENT,year,2024,30,21,-7.075905487877432,-8.382218868904456,19.047619047619047,-4.316223811004216,-4.06599505790024
total_deployment_state_7d,EXPANDING_DEPLOYMENT,year,2025,30,21,2.9681983834116217,-5.966513470290058,47.61904761904761,-1.3531182430959576,-4.613395227194101
total_deployment_state_7d,EXPANDING_DEPLOYMENT,year,2026,30,7,-4.540568108488907,-2.8897094390338385,28.57142857142857,-3.8766081324728643,0.9868986934390258
total_deployment_state_7d,EXPANDING_DEPLOYMENT,regime_wf,Downtrend,7,8,-1.2960631447070061,-1.0200517741194515,25.0,-1.4342871565725612,0.41423538245310976
total_deployment_state_7d,EXPANDING_DEPLOYMENT,regime_wf,Transition,7,11,-1.5267452150891978,-1.6098332134254378,27.27272727272727,1.150269897947609,-2.7601031113730468
total_deployment_state_7d,EXPANDING_DEPLOYMENT,regime_wf,Uptrend,7,30,-0.1367254170527635,-1.9169321126847383,33.33333333333333,-1.0790711851678625,-0.8378609275168758
total_deployment_state_7d,EXPANDING_DEPLOYMENT,regime_wf,Downtrend,14,8,-2.4969313244755433,-1.2511059454725248,37.5,-1.1784058490545424,-0.07270009641798247
total_deployment_state_7d,EXPANDING_DEPLOYMENT,regime_wf,Transition,14,11,-1.9262629849671737,-4.261715111756315,27.27272727272727,-1.0838869578835286,-3.1778281538727864
total_deployment_state_7d,EXPANDING_DEPLOYMENT,regime_wf,Uptrend,14,30,-0.6991602528089785,-3.358292539363339,33.33333333333333,0.0012238718805790416,-3.359516411243918
total_deployment_state_7d,EXPANDING_DEPLOYMENT,regime_wf,Downtrend,30,8,-4.2826734574466645,0.19940119933046785,50.0,-2.0634108291673003,2.262812028497768
total_deployment_state_7d,EXPANDING_DEPLOYMENT,regime_wf,Transition,30,11,-5.030197279672162,-9.26417161059313,18.181818181818183,-5.1089584704831825,-4.155213140109948
total_deployment_state_7d,EXPANDING_DEPLOYMENT,regime_wf,Uptrend,30,30,-0.9484089405745773,-6.302766736981136,33.33333333333333,-1.2741457206260187,-5.0286210163551175
total_deployment_state_7d,EXPANDING_DEPLOYMENT,regime_rt,Downtrend,7,11,-0.3069553530498719,-0.5822609333281048,36.36363636363637,-1.5302882690229835,0.9480273356948787
total_deployment_state_7d,EXPANDING_DEPLOYMENT,regime_rt,Transition,7,20,-2.112997820311228,-1.9093153052245126,25.0,0.5201175170152172,-2.42943282223973
total_deployment_state_7d,EXPANDING_DEPLOYMENT,regime_rt,Uptrend,7,18,0.7984444585862788,-2.2708204631026296,33.33333333333333,-1.17543134880711,-1.0953891142955197
total_deployment_state_7d,EXPANDING_DEPLOYMENT,regime_rt,Downtrend,14,11,-1.1611933906807257,-2.357287815174347,36.36363636363637,-0.44630635687334386,-1.9109814583010032
total_deployment_state_7d,EXPANDING_DEPLOYMENT,regime_rt,Transition,14,20,-1.7681943890799654,-3.2669600914950356,30.0,-0.38077784787999835,-2.8861822436150373
total_deployment_state_7d,EXPANDING_DEPLOYMENT,regime_rt,Uptrend,14,18,-0.777896440868073,-3.6234491937789715,33.33333333333333,-2.19528426222253,-1.4281649315564415
total_deployment_state_7d,EXPANDING_DEPLOYMENT,regime_rt,Downtrend,30,11,-1.8966744233847452,-7.760943770914386,45.45454545454545,-2.0059449538480045,-5.754998817066381
total_deployment_state_7d,EXPANDING_DEPLOYMENT,regime_rt,Transition,30,20,-2.6981492605678454,-5.524363724425241,40.0,-3.7112098214440117,-1.8131539029812291
total_deployment_state_7d,EXPANDING_DEPLOYMENT,regime_rt,Uptrend,30,18,-2.4010790047008506,-8.422737532662449,16.666666666666664,-4.737100187217402,-3.6856373454450466
transmission_state,FALLING_EXPANDING_NO_RECENT_RECLAIM,year,2024,7,7,-4.094969237854956,-1.661960087019354,0.0,-1.373563597997196,-0.288396489022158
transmission_state,FALLING_EXPANDING_NO_RECENT_RECLAIM,year,2025,7,10,-0.17177144074069997,-1.025678706404498,30.0,-0.6675865986246587,-0.35809210777983935
transmission_state,FALLING_EXPANDING_NO_RECENT_RECLAIM,year,2026,7,1,-0.037271891717372,-0.037271891717372,0.0,-1.1815613730963515,1.1442894813789795
transmission_state,FALLING_EXPANDING_NO_RECENT_RECLAIM,year,2024,14,7,-5.316252207816389,-4.261715111756315,0.0,-1.131953401846697,-3.129761709909618
transmission_state,FALLING_EXPANDING_NO_RECENT_RECLAIM,year,2025,14,10,1.5915311432634573,-2.4685209666858055,40.0,-1.0838869578835286,-1.3846340088022768
