group,horizon_calendar_days,n,green_n,red_n,first_session,last_session,mean_green_log_bps,mean_red_log_bps,mean_all_log_bps,green_minus_red_log_bps,ci95_low_bps,ci95_high_bps,green_positive_fraction,red_positive_fraction,green_median_simple_pct,red_median_simple_pct,circular_shift_p_two_sided,holm_p_5_horizons
ALL,1,2445,1340,1105,2016-08-30,2026-05-22,11.8572214258,10.6112365981,11.2941076284,1.2459848276,-30.1636802740,31.6893298552,0.5208955224,0.5484162896,0.0838617579,0.2323408730,0.9340000000,1.0000000000
ALL,2,2444,1339,1105,2016-08-30,2026-05-21,20.6977565906,23.0650222966,21.7680628939,-2.3672657060,-44.4760969924,38.8494204117,0.5377147125,0.5357466063,0.2589355271,0.2136884388,0.9110000000,1.0000000000
ALL,3,2443,1338,1105,2016-08-30,2026-05-20,36.7208156026,26.9501834105,32.3014342795,9.7706321921,-42.2239901335,58.2149099385,0.5358744395,0.5475113122,0.3072370038,0.3686010607,0.6775000000,1.0000000000
ALL,4,2442,1337,1105,2016-08-30,2026-05-19,52.6278810134,42.8317888521,48.1951693679,9.7960921613,-46.9631559398,62.7596422989,0.5295437547,0.5656108597,0.2916699733,0.5763006574,0.7070000000,1.0000000000
ALL,5,2441,1337,1104,2016-08-30,2026-05-18,72.8290542335,64.7034001873,69.1540349517,8.1256540462,-54.1996202948,63.9441318680,0.5445026178,0.5634057971,0.5893815850,0.6089474481,0.7845000000,1.0000000000
PRE_2018,1,336,184,152,2016-08-30,2017-12-29,54.5206546259,61.1232992699,57.5075652982,-6.6026446440,-107.9821223197,84.1937316959,0.5923913043,0.6315789474,0.6764393737,0.6247363120,0.9230000000,1.0000000000
PRE_2018,2,336,184,152,2016-08-30,2017-12-29,79.7401601676,119.0240002646,97.5114211638,-39.2838400970,-224.3582741184,116.8988658868,0.6413043478,0.5986842105,1.2594496560,0.7478381562,0.5530000000,1.0000000000
PRE_2018,3,336,184,152,2016-08-30,2017-12-29,153.0604976192,168.5765914386,160.0796829184,-15.5160938194,-206.3743255596,136.5575915893,0.7010869565,0.5855263158,1.8178168727,1.1285070856,0.8755000000,1.0000000000
PRE_2018,4,336,184,152,2016-08-30,2017-12-29,220.3946397740,241.4096858965,229.9014463533,-21.0150461225,-190.2341026745,125.3562088971,0.6793478261,0.6776315789,2.0850185078,1.9515750771,0.7765000000,1.0000000000
PRE_2018,5,336,184,152,2016-08-30,2017-12-29,280.9146374165,344.8354171671,309.8311806370,-63.9207797506,-236.1088951937,83.2117273195,0.6902173913,0.6776315789,3.0137911346,3.5531498907,0.4420000000,1.0000000000
