event_id,horizon_calendar_days,status,return,MAE,MFE,drawdown,time_to_payoff_days,false_positive,forward_row,score
ANNOTATION_2016,1,NOT_EVALUABLE_ORIGINAL_TRIGGER_AND_OUTCOME_BINDING_MISSING,,,,,,,False,
ANNOTATION_2016,3,NOT_EVALUABLE_ORIGINAL_TRIGGER_AND_OUTCOME_BINDING_MISSING,,,,,,,False,
ANNOTATION_2016,7,NOT_EVALUABLE_ORIGINAL_TRIGGER_AND_OUTCOME_BINDING_MISSING,,,,,,,False,
ANNOTATION_2016,14,NOT_EVALUABLE_ORIGINAL_TRIGGER_AND_OUTCOME_BINDING_MISSING,,,,,,,False,
ANNOTATION_2016,28,NOT_EVALUABLE_ORIGINAL_TRIGGER_AND_OUTCOME_BINDING_MISSING,,,,,,,False,
ANNOTATION_2016,56,NOT_EVALUABLE_ORIGINAL_TRIGGER_AND_OUTCOME_BINDING_MISSING,,,,,,,False,
ANNOTATION_2016,84,NOT_EVALUABLE_ORIGINAL_TRIGGER_AND_OUTCOME_BINDING_MISSING,,,,,,,False,
ANNOTATION_2016,182,NOT_EVALUABLE_ORIGINAL_TRIGGER_AND_OUTCOME_BINDING_MISSING,,,,,,,False,
ANNOTATION_2020,1,NOT_EVALUABLE_ORIGINAL_TRIGGER_AND_OUTCOME_BINDING_MISSING,,,,,,,False,
ANNOTATION_2020,3,NOT_EVALUABLE_ORIGINAL_TRIGGER_AND_OUTCOME_BINDING_MISSING,,,,,,,False,
ANNOTATION_2020,7,NOT_EVALUABLE_ORIGINAL_TRIGGER_AND_OUTCOME_BINDING_MISSING,,,,,,,False,
ANNOTATION_2020,14,NOT_EVALUABLE_ORIGINAL_TRIGGER_AND_OUTCOME_BINDING_MISSING,,,,,,,False,
ANNOTATION_2020,28,NOT_EVALUABLE_ORIGINAL_TRIGGER_AND_OUTCOME_BINDING_MISSING,,,,,,,False,
ANNOTATION_2020,56,NOT_EVALUABLE_ORIGINAL_TRIGGER_AND_OUTCOME_BINDING_MISSING,,,,,,,False,
ANNOTATION_2020,84,NOT_EVALUABLE_ORIGINAL_TRIGGER_AND_OUTCOME_BINDING_MISSING,,,,,,,False,
ANNOTATION_2020,182,NOT_EVALUABLE_ORIGINAL_TRIGGER_AND_OUTCOME_BINDING_MISSING,,,,,,,False,
ANNOTATION_2026,1,NOT_EVALUABLE_ORIGINAL_TRIGGER_AND_OUTCOME_BINDING_MISSING,,,,,,,False,
ANNOTATION_2026,3,NOT_EVALUABLE_ORIGINAL_TRIGGER_AND_OUTCOME_BINDING_MISSING,,,,,,,False,
ANNOTATION_2026,7,NOT_EVALUABLE_ORIGINAL_TRIGGER_AND_OUTCOME_BINDING_MISSING,,,,,,,False,
ANNOTATION_2026,14,NOT_EVALUABLE_ORIGINAL_TRIGGER_AND_OUTCOME_BINDING_MISSING,,,,,,,False,
ANNOTATION_2026,28,NOT_EVALUABLE_ORIGINAL_TRIGGER_AND_OUTCOME_BINDING_MISSING,,,,,,,False,
ANNOTATION_2026,56,NOT_EVALUABLE_ORIGINAL_TRIGGER_AND_OUTCOME_BINDING_MISSING,,,,,,,False,
ANNOTATION_2026,84,NOT_EVALUABLE_ORIGINAL_TRIGGER_AND_OUTCOME_BINDING_MISSING,,,,,,,False,
ANNOTATION_2026,182,NOT_EVALUABLE_ORIGINAL_TRIGGER_AND_OUTCOME_BINDING_MISSING,,,,,,,False,
