family,definition,status,n_events,edge
SAR_RECONSTRUCTED_CHALLENGER_NOT_ORIGINAL_TECHDEV,period=1M;start=0.01;increment=0.01;max=0.1,NOT_RUN_OHLC_AND_MEMBERSHIP_VINTAGES_MISSING,,
SAR_RECONSTRUCTED_CHALLENGER_NOT_ORIGINAL_TECHDEV,period=1M;start=0.02;increment=0.02;max=0.2,NOT_RUN_OHLC_AND_MEMBERSHIP_VINTAGES_MISSING,,
SAR_RECONSTRUCTED_CHALLENGER_NOT_ORIGINAL_TECHDEV,period=1M;start=0.03;increment=0.03;max=0.3,NOT_RUN_OHLC_AND_MEMBERSHIP_VINTAGES_MISSING,,
SAR_RECONSTRUCTED_CHALLENGER_NOT_ORIGINAL_TECHDEV,period=1M;start=0.02;increment=0.01;max=0.2,NOT_RUN_OHLC_AND_MEMBERSHIP_VINTAGES_MISSING,,
SAR_RECONSTRUCTED_CHALLENGER_NOT_ORIGINAL_TECHDEV,period=1M;start=0.02;increment=0.03;max=0.2,NOT_RUN_OHLC_AND_MEMBERSHIP_VINTAGES_MISSING,,
SAR_RECONSTRUCTED_CHALLENGER_NOT_ORIGINAL_TECHDEV,period=2M;start=0.01;increment=0.01;max=0.1,NOT_RUN_OHLC_AND_MEMBERSHIP_VINTAGES_MISSING,,
SAR_RECONSTRUCTED_CHALLENGER_NOT_ORIGINAL_TECHDEV,period=2M;start=0.02;increment=0.02;max=0.2,NOT_RUN_OHLC_AND_MEMBERSHIP_VINTAGES_MISSING,,
SAR_RECONSTRUCTED_CHALLENGER_NOT_ORIGINAL_TECHDEV,period=2M;start=0.03;increment=0.03;max=0.3,NOT_RUN_OHLC_AND_MEMBERSHIP_VINTAGES_MISSING,,
SAR_RECONSTRUCTED_CHALLENGER_NOT_ORIGINAL_TECHDEV,period=2M;start=0.02;increment=0.01;max=0.2,NOT_RUN_OHLC_AND_MEMBERSHIP_VINTAGES_MISSING,,
SAR_RECONSTRUCTED_CHALLENGER_NOT_ORIGINAL_TECHDEV,period=2M;start=0.02;increment=0.03;max=0.2,NOT_RUN_OHLC_AND_MEMBERSHIP_VINTAGES_MISSING,,
SAR_RECONSTRUCTED_CHALLENGER_NOT_ORIGINAL_TECHDEV,period=3M;start=0.01;increment=0.01;max=0.1,NOT_RUN_OHLC_AND_MEMBERSHIP_VINTAGES_MISSING,,
SAR_RECONSTRUCTED_CHALLENGER_NOT_ORIGINAL_TECHDEV,period=3M;start=0.02;increment=0.02;max=0.2,NOT_RUN_OHLC_AND_MEMBERSHIP_VINTAGES_MISSING,,
SAR_RECONSTRUCTED_CHALLENGER_NOT_ORIGINAL_TECHDEV,period=3M;start=0.03;increment=0.03;max=0.3,NOT_RUN_OHLC_AND_MEMBERSHIP_VINTAGES_MISSING,,
SAR_RECONSTRUCTED_CHALLENGER_NOT_ORIGINAL_TECHDEV,period=3M;start=0.02;increment=0.01;max=0.2,NOT_RUN_OHLC_AND_MEMBERSHIP_VINTAGES_MISSING,,
SAR_RECONSTRUCTED_CHALLENGER_NOT_ORIGINAL_TECHDEV,period=3M;start=0.02;increment=0.03;max=0.2,NOT_RUN_OHLC_AND_MEMBERSHIP_VINTAGES_MISSING,,
BASELINE,prior_2_bar_high_breakout,NOT_RUN_COMPARABLE_SIGNAL_HISTORY_MISSING,,
BASELINE,close_above_3_bar_SMA,NOT_RUN_COMPARABLE_SIGNAL_HISTORY_MISSING,,
BASELINE,positive_1_bar_momentum,NOT_RUN_COMPARABLE_SIGNAL_HISTORY_MISSING,,
BASELINE,first_ETHBTC_cross,NOT_RUN_COMPARABLE_SIGNAL_HISTORY_MISSING,,
BASELINE,current_owner_chain,NOT_RUN_COMPARABLE_SIGNAL_HISTORY_MISSING,,
ALTERNATIVE_PROXY,point_in_time_ranks_11_125_share,NOT_RUN_COMPARABLE_SIGNAL_HISTORY_MISSING,,
ALTERNATIVE_PROXY,stablecoin_excluded_ex_top10_share,NOT_RUN_COMPARABLE_SIGNAL_HISTORY_MISSING,,
ALTERNATIVE_PROXY,fixed_inception_basket_sensitivity_not_original,NOT_RUN_COMPARABLE_SIGNAL_HISTORY_MISSING,,
NULL,all_eligible_nontrigger_bars,NOT_RUN_COMPARABLE_SIGNAL_HISTORY_MISSING,,
NULL,frequency_matched_same_regime_random_dates,NOT_RUN_COMPARABLE_SIGNAL_HISTORY_MISSING,,
NULL,circular_time_shift_avoiding_26_week_overlap,NOT_RUN_COMPARABLE_SIGNAL_HISTORY_MISSING,,
