episode_id,event_utc,era,control_id,control_utc,control_status,matching_distance_rms_z
V2_2020-09-01_001,2020-09-01T07:00:00Z,ALTSEASON_2020_2021,,,ANCHOR_MATCH_FEATURES_MISSING,
V2_2020-09-19_002,2020-09-19T13:00:00Z,ALTSEASON_2020_2021,V2CTRL_2020-09-17T00,2020-09-17T00:00:00Z,OK,0.9778991032074877
V2_2020-09-28_003,2020-09-28T17:00:00Z,ALTSEASON_2020_2021,V2CTRL_2020-09-27T03,2020-09-27T03:00:00Z,OK,0.11828923997466771
V2_2020-10-01_004,2020-10-01T11:00:00Z,ALTSEASON_2020_2021,V2CTRL_2020-09-28T12,2020-09-28T12:00:00Z,OK,0.31335842431767424
V2_2020-10-12_005,2020-10-12T21:00:00Z,ALTSEASON_2020_2021,V2CTRL_2020-09-18T09,2020-09-18T09:00:00Z,OK,0.43005518644478086
V2_2020-10-28_006,2020-10-28T12:00:00Z,ALTSEASON_2020_2021,V2CTRL_2020-11-15T00,2020-11-15T00:00:00Z,OK,0.5494114555644809
V2_2020-11-07_007,2020-11-07T12:00:00Z,ALTSEASON_2020_2021,,,NO_ELIGIBLE_CONTROL_IN_CALIPER,
V2_2020-11-11_008,2020-11-11T01:00:00Z,ALTSEASON_2020_2021,V2CTRL_2020-11-30T14,2020-11-30T14:00:00Z,OK,0.5682221631463686
V2_2020-11-13_009,2020-11-13T23:00:00Z,ALTSEASON_2020_2021,V2CTRL_2020-12-02T18,2020-12-02T18:00:00Z,OK,1.2632012554747891
V2_2020-11-18_010,2020-11-18T00:00:00Z,ALTSEASON_2020_2021,V2CTRL_2020-12-16T22,2020-12-16T22:00:00Z,OK,0.17407940591369708
V2_2020-11-21_011,2020-11-21T23:00:00Z,ALTSEASON_2020_2021,V2CTRL_2020-11-06T22,2020-11-06T22:00:00Z,OK,0.25573984689218715
V2_2020-11-24_012,2020-11-24T08:00:00Z,ALTSEASON_2020_2021,V2CTRL_2020-11-24T00,2020-11-24T00:00:00Z,OK,0.5407948590488927
V2_2020-11-25_013,2020-11-25T11:00:00Z,ALTSEASON_2020_2021,V2CTRL_2020-11-16T17,2020-11-16T17:00:00Z,OK,0.25852361029626064
V2_2020-12-01_014,2020-12-01T10:00:00Z,ALTSEASON_2020_2021,V2CTRL_2020-11-13T22,2020-11-13T22:00:00Z,OK,0.16257962108670154
