ASSET,ISO_DATE,SOURCE_DATE_RAW,IBIT,FBTC,BITB,ARKB,BTCO,EZBC,BRRR,HODL,BTCW,MSBT,GBTC,BTC,Total
BTC,2024-01-11,11 Jan 2024,111.7,227,237.9,65.3,17.4,50.1,29.4,10.6,1,0,-95.1,0,655.3
BTC,2024-01-12,12 Jan 2024,386,195.3,17.4,39.8,28.4,0,20.2,0,0,0,-484.1,0,203
BTC,2024-01-15,15 Jan 2024,0,0,0,0,0,0,0,0,0,0,0,0,0
BTC,2024-01-16,16 Jan 2024,212.7,102,50.2,122.3,31.9,0,15.3,7.3,0,0,-594.4,0,-52.7
BTC,2024-01-17,17 Jan 2024,371.4,358.1,68.2,50.3,57.6,1.2,1.2,4.8,1.6,0,-460.6,0,453.8
BTC,2024-01-18,18 Jan 2024,145.5,177.9,20.1,41.8,58.8,0,9.3,2.3,0,0,-582.3,0,-126.6
BTC,2024-01-19,19 Jan 2024,201.5,222.3,56.7,62.6,63.4,0,10.4,14.2,2.9,0,-590.4,0,43.6
BTC,2024-01-22,22 Jan 2024,260.6,158.7,41.6,65,5.6,4.7,9.7,6.8,0.4,0,-640.5,0,-87.4
BTC,2024-01-23,23 Jan 2024,160.1,157.7,26.3,61.8,0,1.1,0,2.2,0,0,-515.3,0,-106.1
BTC,2024-01-24,24 Jan 2024,66.2,125.7,19.1,24.9,19.9,1.2,9.1,4.5,0.4,0,-429.3,0,-158.3
BTC,2024-01-25,25 Jan 2024,170.7,101,20,16.1,0,0,6.5,0,0,0,-394.1,0,-79.8
BTC,2024-01-26,26 Jan 2024,87.1,100.1,30.9,46.4,0,1.2,1.8,2.4,0,0,-255.1,0,14.8
BTC,2024-01-29,29 Jan 2024,198.4,208.2,20,17.2,3,0,0,0,0,0,-191.7,0,255.1
BTC,2024-01-30,30 Jan 2024,299.2,119.2,21.9,16.8,6.3,2.5,0,0,2.1,0,-220.7,0,247.3
BTC,2024-01-31,31 Jan 2024,116.2,232,17.8,14.8,1.5,0,0.6,2.4,0,0,-187.7,0,197.6
BTC,2024-02-01,01 Feb 2024,163.9,35.8,4.2,15.9,0,0,0,0,0.7,0,-182,0,38.5
BTC,2024-02-02,02 Feb 2024,105.8,78.9,11.5,22.6,0,2.5,0,2.4,0.9,0,-144.6,0,80
BTC,2024-02-05,05 Feb 2024,137.3,38,0,0,0,0,0,0,0.7,0,-107.9,0,68.1
BTC,2024-02-06,06 Feb 2024,45.2,37.7,11.3,8.6,0,0,0,2.4,1.1,0,-72.7,0,33.6
BTC,2024-02-07,07 Feb 2024,56.2,130.1,21.4,3.3,8.6,5.1,1.2,0,0.9,0,-80.8,0,146
BTC,2024-02-08,08 Feb 2024,204.1,128.3,60.5,86.4,13.4,0,1.9,10.3,1.7,0,-101.6,0,405
BTC,2024-02-09,09 Feb 2024,250.7,188.4,29.1,136.5,-17.4,1.4,1.4,2.7,0.5,0,-51.8,0,541.5
BTC,2024-02-12,12 Feb 2024,374.7,151.9,33,40,-20.8,0,1.1,8.5,0,0,-95,0,493.4
BTC,2024-02-13,13 Feb 2024,493.1,163.6,10.8,40,0,0,0,0,1.6,0,-72.8,0,636.3
BTC,2024-02-14,14 Feb 2024,224.3,118.9,47.2,101.5,-37.5,9,1,2.9,3.6,0,-131.2,0,339.7
BTC,2024-02-15,15 Feb 2024,330.9,97.4,120.2,88.9,1.3,3,7.4,2.9,0,0,-174.6,0,477.4
BTC,2024-02-16,16 Feb 2024,191.4,116.7,20.9,140,1,0,7.9,0,2.8,0,-150.4,0,330.3
BTC,2024-02-19,19 Feb 2024,0,0,0,0,0,0,0,0,0,0,0,0,0
BTC,2024-02-20,20 Feb 2024,154.3,71.7,11.1,27.4,0,0,0,5.9,2.2,0,-137,0,135.6
BTC,2024-02-21,21 Feb 2024,96.5,52.5,0,10.7,1,3,0,0,0,0,-199.3,0,-35.6
BTC,2024-02-22,22 Feb 2024,125.1,158.9,7.9,6.7,0,0,1.2,2.9,4.4,0,-55.7,0,251.4
BTC,2024-02-23,23 Feb 2024,167.5,52.5,12,34.5,0,1.5,0,8.7,0,0,-44.2,0,232.5
BTC,2024-02-26,26 Feb 2024,111.8,243.3,37.2,130.6,4.4,7.9,0,6.2,0.9,0,-22.4,0,519.9
BTC,2024-02-27,27 Feb 2024,520.2,126,18.4,5.4,2.6,16.6,0,9.7,3.6,0,-125.6,0,576.9
BTC,2024-02-28,28 Feb 2024,612.1,245.2,9.9,23.8,0,0,0,-3.4,2.2,0,-216.4,0,673.4
BTC,2024-02-29,29 Feb 2024,603.9,44.8,21.7,9.9,-1.5,5.4,0,7,0,0,-598.9,0,92.3
BTC,2024-03-01,01 Mar 2024,202.5,49.3,42.3,55.1,0,5.4,0,-1.8,0,0,-492.4,0,-139.6
BTC,2024-03-04,04 Mar 2024,420.1,404.6,90.9,38.2,-25.7,7.8,3.7,-5.7,-3.2,0,-368,0,562.7
BTC,2024-03-05,05 Mar 2024,788.3,125.6,3.7,63.7,-14.2,3.6,0,3.5,6.6,0,-332.5,0,648.3
BTC,2024-03-06,06 Mar 2024,281.7,205.7,28.6,41.3,3,5.8,40.7,0,1.4,0,-276.2,0,332
BTC,2024-03-07,07 Mar 2024,244.2,473.4,41.4,42.1,0,0,41.8,1.9,2.5,0,-374.8,0,472.5
