thr,persist,n_signals,fakeout_rate,med_fwd5,med_fwd10,pct_fwd10_pos,med_eth_rel_btc_10d,pct_eth_outperf_10d
0.025,1,4,1.0,-0.012,-0.0133,0.25,-0.0139,0.25
0.025,2,4,1.0,-0.0715,-0.0856,0.25,-0.0822,0.25
0.025,3,2,1.0,0.0308,0.0771,0.5,0.0805,0.5
0.0275,1,5,0.6,-0.0047,-0.0026,0.4,-0.0025,0.4
0.0275,2,4,0.5,-0.0137,-0.0206,0.5,-0.0172,0.5
0.0275,3,3,0.333,0.0092,0.0579,0.667,0.0577,0.667
0.03,1,6,0.5,0.019,0.0129,0.833,0.0126,0.833
0.03,2,4,0.5,-0.0052,-0.0066,0.5,-0.006,0.5
0.03,3,3,0.333,0.0226,0.0368,0.667,0.04,0.667
0.0325,1,3,0.667,0.0561,0.0571,1.0,0.0615,1.0
0.0325,2,3,0.667,0.021,0.0167,1.0,0.0174,1.0
0.0325,3,3,0.667,0.0139,0.0046,0.667,0.0043,0.667
